2015-04-21 16:27:05,826 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-server:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:05,829 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-core:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:05,832 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-servlet:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:06,073 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-21 16:27:06,075 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-21 16:27:06,078 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-21 16:27:06,079 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces\RestWebservicesWorkspace\CalculatorService\src\test\resources
2015-04-21 16:27:06,084 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 is missing, no dependency information available
2015-04-21 16:27:06,104 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-21 16:27:06,104 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application\src\main\resources
2015-04-21 16:27:06,106 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-21 16:27:06,107 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application\src\test\resources
